$MOVEMENTEVALUATION:SIMRUN	TIMEINT	MOVEMENT	MOVEMENT\FROMLINK	MOVEMENT\TOLINK	VEHS(ALL)	VEHS(10)	VEHS(20)	VEHS(30)	VEHS(40)	VEHDELAY(ALL)	VEHDELAY(10)	VEHDELAY(20)	VEHDELAY(30)	VEHDELAY(40)	STOPDELAY(ALL)	STOPDELAY(10)	STOPDELAY(20)	STOPDELAY(30)	STOPDELAY(40)	LOS(ALL)	LOSVAL(ALL)	QLEN	QLENMAX
1	7200-10800	60-938: Leakes Rd@26.8-402: Leakes Rd@47.2	938	402	20	20	0	0	0	14.67	14.67				3.00	3.00				LOS_B	2	0.00	0.00
1	7200-10800	60-938: Leakes Rd@26.8-2146@35.1	938	2146	323	304	1	9	9	3.01	2.89	4.77	2.51	7.44	0.37	0.37	0.00	0.00	0.77	LOS_A	1	2.42	98.74
1	7200-10800	60-2148@10.0-398: Taylors Rd@22.2	2148	398	32	32	0	0	0	0.18	0.18				0.00	0.00				LOS_A	1	0.00	0.00
1	7200-10800	60-2148@10.0-402: Leakes Rd@47.2	2148	402	101	100	0	0	1	4.14	4.13			4.94	0.00	0.00			0.00	LOS_A	1	0.00	0.00
1	7200-10800	60-12471@13.8-400: Leakes Rd@76.7	12471	400	56	56	0	0	0	3.91	3.91				0.00	0.00				LOS_A	1	0.00	0.00
1	7200-10800	60			4085	3897	5	85	94	4.05	3.95	4.20	4.95	6.20	0.18	0.16	0.00	0.22	0.62	LOS_A	1	0.30	98.74
1	7200-10800	61-539: Leakes Rd@105.5-438: Leakes Rd@42.1	539	438	526	495	1	15	15	1.83	1.78	1.46	2.27	3.16	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00
1	7200-10800	61-863: Leakes Rd@80.4-265@25.0	863	265	404	382	1	7	14	15.10	14.76	10.46	22.17	21.18	1.27	1.12	0.00	3.68	4.12	LOS_C	3	12.49	345.37
1	7200-10800	61-863: Leakes Rd@80.4-435: Leakes Rd@21.2	863	435	1461	1390	0	39	30	19.58	19.04		26.18	36.87	1.19	1.13		1.41	3.83	LOS_C	3	12.49	345.37
1	7200-10800	61-2344: Leakes Rd@29.9-265@25.0	2344	265	587	537	3	29	17	4.24	4.14	4.06	5.18	6.12	0.42	0.39	0.00	0.39	1.44	LOS_A	1	29.26	119.63
1	7200-10800	61-2344: Leakes Rd@29.9-438: Leakes Rd@42.1	2344	438	1899	1818	1	46	32	3.76	3.70	7.33	4.93	5.33	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00
1	7200-10800	61-2345@108.7-435: Leakes Rd@21.2	2345	435	1365	1333	0	18	13	23.19	22.94		21.17	49.22	3.51	3.44		1.37	13.87	LOS_C	3	93.07	513.16
1	7200-10800	61			6242	5955	6	154	121	12.33	12.18	5.24	12.78	19.54	1.17	1.14	0.00	0.76	3.12	LOS_B	2	26.96	513.16
1	7200-10800	62-267: Ian Cowie Way@65.6-264: Leakes Rd@17.3	267	264	2	2	0	0	0	0.27	0.27				0.00	0.00				LOS_A	1	0.00	0.00
1	7200-10800	62-267: Ian Cowie Way@65.6-434: Leakes Rd@22.8	267	434	21	21	0	0	0	0.19	0.19				0.00	0.00				LOS_A	1	0.00	0.00
1	7200-10800	62-538: Leakes Rd@89.6-264: Leakes Rd@17.3	538	264	275	274	0	1	0	2.33	2.33		0.28		0.00	0.00		0.00		LOS_A	1	0.00	0.00
1	7200-10800	62-538: Leakes Rd@89.6-268: Ian Cowie Way@17.3	538	268	10	10	0	0	0	1.73	1.73				0.00	0.00				LOS_A	1	0.00	0.00
1	7200-10800	62-864: Leakes Rd@39.3-268: Ian Cowie Way@17.3	864	268	5	5	0	0	0	5.94	5.94				0.00	0.00				LOS_A	1	0.00	0.00
